Z,N,AX,E(keV),J,T1/2,Eγ(keV),λ
4,8,12Be,2251 (1),0+,233.0(75) ns,"144(1)
2251(1)","E2
E0"
7,9,16N,120.42 (12),0-,5.25(6) μs,120.42(12),
9,9,18F,1121.36 (15),5+,162(7) ns,184,E2
9,10,19F,197.143 (4),5/2+,89.3(10) ns,"87.3
197.1",E2
10,9,19Ne,238.27 (11),5/2+,18.0(5) ns,238.3,E2
11,11,22Na,583.11 (9),1+,243(2) ns,583.04(10),E2
11,13,24Na,472.2074 (8),1+,20.18(10) ms,472.2024(8),M3
13,11,24Al,425.8 (1),1+,130.9(13) ms,425.8(1),M3
9,17,26F,643.4 (1),4+,2.2(1) ms,,
11,15,26Na,82.5 (5),1+,9(2) μs,82.5,
13,13,26Al,228.305 (13),0+,6.3463(67) s,,
12,19,31Mg,50.1 (2),(3/2+),16(3) ns,50.2(2),
12,19,31Mg,461.0 (6),(7/2),10.5(8) ns,239.9(5),
13,19,32Al,956.6 (5),(4+),200(20) ns,221.9(3),
14,18,32Si,5581 (4),(5),27(2) ns,79(1),
14,19,33Si,1434.9 (5),7/2,10.2(3) ns,1434.9(5),M2
13,21,34Al,0+X,1+,26(1) ms,,
17,17,34Cl,146.36 (3),3+,31.99(3) min,146.36(3),
19,18,37K,1380.25 (3),7/2,10.4(5) ns,1380.2,
17,21,38Cl,671.365 (8),5,715(3) ms,671.360(8),M3
19,19,38K,130.15 (4),0+,924.46(14) ms,130.1(2),M3
19,21,40K,1643.639 (11),0+,0.336(12) μs,"843.478(16)
1613.84(4)","M2
E3"
21,21,42Sc,616.28 (6),7+,61.7(4) s,,
16,27,43S,320.9 (5),7/2,0.20(+147) μs,320.9(5),E2
19,24,43K,738.1 (1),7/2,200(5) ns,738.1(2),M2+E3
21,22,43Sc,151.4 (2),3/2+,438(7) μs,151.55(15),
21,22,43Sc,3124.32 (13),19/2,470(4) ns,135.5(1),E2
22,21,43Ti,312.7 (2),(3/2+),11.9(3) μs,312.7(2),
22,21,43Ti,3067,(19/2),556(5) ns,114.7(2),
16,28,44S,1365.0 (8),0+,2.619(26) μs,"36(1)?
1365(1)",E0
21,23,44Sc,67.8679 (14),1,154.8(8) ns,67.8679(14),E1
21,23,44Sc,146.1914 (20),0,51.0(3) μs,"78.3234(14)
146.22",M1
21,23,44Sc,271.240 (10),6+,58.61(10) h,271.24(1),
23,21,44V,0+X,(6)+,150(3) ms,,
21,24,45Sc,12.40 (5),3/2+,318(7) ms,12.4,(M2)
22,23,45Ti,36.53 (15),3/2,3.0(2) μs,36.69(21),(E2)
22,23,45Ti,39.39 (23),5/2,11.29(9) ns,40.15(30),(M1(+E2))
23,22,45V,56.8 (6),(3/2),465(22) ns,"0.8?
57.1(8)",(E2)
24,21,45Cr,107 (1),(3/2+),> 80 μs,107(1),(M2)
20,26,46Ca,2973.9 (6),6+,10.4(5) ns,399.2(3),
21,25,46Sc,52.011 (1),6+,9.4(8) μs,52.011(1),E2
21,25,46Sc,142.528 (7),1,18.75(4) s,142.528(8),E3
23,23,46V,801.46 (10),3+,1.02(7) ms,801.5(1),
21,26,47Sc,766.83 (9),(3/2)+,272(8) ns,767.1(3),(M2)
21,28,49Sc,2228.63 (22),1/2+,29.9(11) ns,2228.75(35),
23,26,49V,152.9282 (17),3/2,19.90(24) ns,"62.289(2)
152.928(2)","(M1)
E2"
21,29,50Sc,256.895 (10),"2+, 3+",0.35(4) s,256.894(10),
25,25,50Mn,225.28 (9),5+,1.75(3) min,,
25,27,52Mn,377.749 (5),2+,"21.1(2) min
22.7(30) min @",377.748(5),E4
26,26,52Fe,6958.0 (4),12+,45.9(6) s,"465.0(3)
597.1(3)","E4
E4"
26,27,53Fe,741.11 (10),3/2,63.5(14) ns,741.1(1),E2
26,27,53Fe,3040.4 (3),19/2,"2.54(2) min
2.48(5) min @","701.1(1)
1712.6(3)
3040.6(5)",
27,26,53Co,3174.3 (10),(19/2),247(12) ms,,
21,33,54Sc,110.0 (10),"(4,
5) +",2.77(2) μs,110,E2
23,31,54V,108.0 (10),(5)+,0.9(5) μs,108,E2
26,28,54Fe,6527.1 (11),10+,364(7) ns,"146.2 (2)
3577.6","E2
E4"
27,27,54Co,197.1 (4),7+,1.48(2) min,,
28,26,54Ni,6457.4 (9),10+,152(4) ns,"146.1(2)
3386.2(9)",
21,35,56Sc,0+X,"(5+,
6+)",75(6) ms,,
21,35,56Sc,774.9 (3),(4+),0.35(+2612) μs,"47.7(3)
187.8(3)",(E2)
26,31,57Fe,14.4129 (6),3/2,98.3(3) ns,14.4129(6),M1+E2
25,33,58Mn,71.77 (5),4+,65.4(5) s,71.78(5),M3
27,31,58Co,24.95 (6),5+,9.10(9) h,24.889(21),M3
27,31,58Co,53.15 (7),4+,10.5(3) μs,"28.30(15)
52.96(13)",(M1+E2)
22,37,59Ti,109.0 (5),(1/2),0.587(+5751) μs,109,E2
24,35,59Cr,503.0 (17),(9/2+),96(20) μs,193(1),
23,37,60V†,"0+X
0+Y",,"122(18) ms
40(15) ms",,
23,37,60V,103.2+X,(2+),13(3) ns,103.2(5)?,(M1+E2)
23,37,60V,203.7+X,(4+),0.236(24) μs,99.7(5),(E2)
27,33,60Co,58.59 (1),2+,10.467(6) min,58.603(7),M3+(E4)
26,35,61Fe,861.60 (11),(9/2+),238(5) ns,654.7(1),M2
25,37,62Mn†,"0+X
0+Y","(1+)
(4+)","92(13) ms
671(5) ms",,
25,37,62Mn,113.8+Y,(4),95(2) ns,113.8(3),(M1+E2)
27,35,62Co,22 (5),(5)+,13.86(9) min,,
29,33,62Cu,390.12 (6),4+,11(1) ns,"146.81(10)
349.25(10)","E2
E2"
28,35,63Ni,87.15 (11),5/2,1.67(3) μs,87.13(11),
