"Te","ne","CS"
0.5,1e+12,0.24593
1,1e+12,0.99589
1.5,1e+12,1.0698
2,1e+12,1.4781
5,1e+12,2.6886
7,1e+12,3.2811
10,1e+12,3.7843
15,1e+12,4.4074
23,1e+12,6.4179
32,1e+12,7.8032
52,1e+12,9.9293
74,1e+12,11.255
100,1e+12,15.059
165,1e+12,18.146
235,1e+12,18.625
310,1e+12,18.92
390,1e+12,19.242
475,1e+12,19.688
655,1e+12,21.083
845,1e+12,22.932
1000,1e+12,24.438
1441,1e+12,28.347
1925,1e+12,33.041
2454,1e+12,35.34
3030,1e+12,36.115
3655,1e+12,36.556
4331,1e+12,36.935
5060,1e+12,37.36
5844,1e+12,37.905
6685,1e+12,38.619
7585,1e+12,39.482
8546,1e+12,40.383
10000,1e+12,41.5
20000,1e+12,44.055
50000,1e+12,45.104
1e+05,1e+12,45.645
0.5,1e+13,0.15827
1,1e+13,0.99679
1.5,1e+13,1.1137
2,1e+13,1.6442
5,1e+13,2.7314
7,1e+13,3.3021
10,1e+13,3.792
15,1e+13,4.4158
23,1e+13,6.4236
32,1e+13,7.8041
52,1e+13,9.9296
74,1e+13,11.255
100,1e+13,15.059
165,1e+13,18.146
235,1e+13,18.625
310,1e+13,18.92
390,1e+13,19.242
475,1e+13,19.688
655,1e+13,21.083
845,1e+13,22.932
1000,1e+13,24.438
1441,1e+13,28.347
1925,1e+13,33.041
2454,1e+13,35.34
3030,1e+13,36.115
3655,1e+13,36.556
4331,1e+13,36.935
5060,1e+13,37.36
5844,1e+13,37.905
6685,1e+13,38.619
7585,1e+13,39.482
8546,1e+13,40.383
10000,1e+13,41.5
20000,1e+13,44.055
50000,1e+13,45.104
1e+05,1e+13,45.645
0.5,1e+14,0.26864
1,1e+14,0.99869
1.5,1e+14,1.2347
2,1e+14,1.8859
5,1e+14,2.9293
7,1e+14,3.4261
10,1e+14,3.8486
15,1e+14,4.4936
23,1e+14,6.4703
32,1e+14,7.8118
52,1e+14,9.9316
74,1e+14,11.256
100,1e+14,15.059
165,1e+14,18.146
235,1e+14,18.625
310,1e+14,18.92
390,1e+14,19.242
475,1e+14,19.688
655,1e+14,21.084
845,1e+14,22.933
1000,1e+14,24.438
1441,1e+14,28.347
1925,1e+14,33.041
2454,1e+14,35.34
3030,1e+14,36.115
3655,1e+14,36.556
4331,1e+14,36.935
5060,1e+14,37.36
5844,1e+14,37.905
6685,1e+14,38.619
7585,1e+14,39.482
8546,1e+14,40.383
10000,1e+14,41.5
20000,1e+14,44.055
50000,1e+14,45.105
1e+05,1e+14,45.645
0.5,1e+15,0.41304
1,1e+15,0.99862
1.5,1e+15,1.3779
2,1e+15,1.9611
5,1e+15,3.2893
7,1e+15,3.7645
10,1e+15,4.0577
15,1e+15,4.9946
23,1e+15,6.6688
32,1e+15,7.8704
52,1e+15,9.9493
74,1e+15,11.262
100,1e+15,15.063
165,1e+15,18.146
235,1e+15,18.625
310,1e+15,18.92
390,1e+15,19.242
475,1e+15,19.688
655,1e+15,21.084
845,1e+15,22.933
1000,1e+15,24.438
1441,1e+15,28.348
1925,1e+15,33.041
2454,1e+15,35.34
3030,1e+15,36.115
3655,1e+15,36.556
4331,1e+15,36.935
5060,1e+15,37.36
5844,1e+15,37.905
6685,1e+15,38.619
7585,1e+15,39.482
8546,1e+15,40.383
10000,1e+15,41.5
20000,1e+15,44.055
50000,1e+15,45.105
1e+05,1e+15,45.645
0.5,1e+16,0.15901
1,1e+16,0.99005
1.5,1e+16,1.33
2,1e+16,1.9583
5,1e+16,3.7108
7,1e+16,4.0678
10,1e+16,4.7313
15,1e+16,6.0057
23,1e+16,7.1817
32,1e+16,8.2305
52,1e+16,10.087
74,1e+16,11.315
100,1e+16,15.086
165,1e+16,18.147
235,1e+16,18.625
310,1e+16,18.921
390,1e+16,19.244
475,1e+16,19.691
655,1e+16,21.087
845,1e+16,22.936
1000,1e+16,24.44
1441,1e+16,28.349
1925,1e+16,33.041
2454,1e+16,35.34
3030,1e+16,36.115
3655,1e+16,36.556
4331,1e+16,36.935
5060,1e+16,37.36
5844,1e+16,37.905
6685,1e+16,38.619
7585,1e+16,39.482
8546,1e+16,40.383
10000,1e+16,41.5
20000,1e+16,44.055
50000,1e+16,45.105
1e+05,1e+16,45.645
0.5,1e+17,0.023189
1,1e+17,0.91554
1.5,1e+17,1.0879
2,1e+17,1.834
5,1e+17,3.8379
7,1e+17,4.5284
10,1e+17,5.5848
15,1e+17,7.0309
23,1e+17,8.232
32,1e+17,9.286
52,1e+17,10.607
74,1e+17,11.657
100,1e+17,15.253
165,1e+17,18.15
235,1e+17,18.629
310,1e+17,18.93
390,1e+17,19.26
475,1e+17,19.715
655,1e+17,21.118
845,1e+17,22.957
1000,1e+17,24.454
1441,1e+17,28.354
1925,1e+17,33.044
2454,1e+17,35.34
