"Z","ne_cm3","Te_eV","q","frac"
6,1e+12,0.5,0,0.99999
6,1e+12,0.5,1,6.9628e-06
6,1e+12,0.5,2,4.3988e-23
6,1e+12,0.5,3,0
6,1e+12,0.5,4,0
6,1e+12,0.5,5,0
6,1e+12,0.5,6,0
6,1e+12,1,0,0.32232
6,1e+12,1,1,0.67768
6,1e+12,1,2,3.1678e-07
6,1e+12,1,3,2.0806e-26
6,1e+12,1,4,0
6,1e+12,1,5,0
6,1e+12,1,6,0
6,1e+12,1.5,0,0.0056612
6,1e+12,1.5,1,0.99202
6,1e+12,1.5,2,0.0023169
6,1e+12,1.5,3,1.9608e-15
6,1e+12,1.5,4,6.1793e-32
6,1e+12,1.5,5,0
6,1e+12,1.5,6,0
6,1e+12,2,0,0.00059136
6,1e+12,2,1,0.84904
6,1e+12,2,2,0.15037
6,1e+12,2,3,5.2225e-10
6,1e+12,2,4,1.0534e-21
6,1e+12,2,5,0
6,1e+12,2,6,0
6,1e+12,5,0,3.3052e-07
6,1e+12,5,1,0.0057804
6,1e+12,5,2,0.97257
6,1e+12,5,3,0.021623
6,1e+12,5,4,3.1073e-05
6,1e+12,5,5,2.2936e-37
6,1e+12,5,6,0
6,1e+12,7,0,7.9885e-08
6,1e+12,7,1,0.0022286
6,1e+12,7,2,0.68366
6,1e+12,7,3,0.28969
6,1e+12,7,4,0.02442
6,1e+12,7,5,1.1982e-24
6,1e+12,7,6,0
6,1e+12,10,0,4.022e-09
6,1e+12,10,1,0.00018107
6,1e+12,10,2,0.089882
6,1e+12,10,3,0.30126
6,1e+12,10,4,0.60868
6,1e+12,10,5,7.4399e-16
6,1e+12,10,6,2.0012e-36
6,1e+12,15,0,1.6719e-11
6,1e+12,15,1,2.3495e-06
6,1e+12,15,2,0.0020099
6,1e+12,15,3,0.034701
6,1e+12,15,4,0.96329
6,1e+12,15,5,6.98e-10
6,1e+12,15,6,3.7221e-23
6,1e+12,23,0,1.2714e-13
6,1e+12,23,1,4.8756e-08
6,1e+12,23,2,7.5669e-05
6,1e+12,23,3,0.0048903
6,1e+12,23,4,0.99503
6,1e+12,23,5,7.8203e-06
6,1e+12,23,6,5.9131e-14
6,1e+12,32,0,5.4014e-15
6,1e+12,32,1,4.065e-09
6,1e+12,32,2,1.0103e-05
6,1e+12,32,3,0.0015339
6,1e+12,32,4,0.99733
6,1e+12,32,5,0.0011287
6,1e+12,32,6,5.0278e-09
6,1e+12,52,0,9.6414e-17
6,1e+12,52,1,1.7609e-10
6,1e+12,52,2,8.7635e-07
6,1e+12,52,3,0.00039228
6,1e+12,52,4,0.85056
6,1e+12,52,5,0.14863
6,1e+12,52,6,0.00042306
6,1e+12,74,0,3.5228e-18
6,1e+12,74,1,1.142e-11
6,1e+12,74,2,9.3552e-08
6,1e+12,74,3,8.3509e-05
6,1e+12,74,4,0.3042
6,1e+12,74,5,0.6497
6,1e+12,74,6,0.046016
6,1e+12,100,0,1.2081e-19
6,1e+12,100,1,6.117e-13
6,1e+12,100,2,7.6282e-09
6,1e+12,100,3,1.16e-05
6,1e+12,100,4,0.057222
6,1e+12,100,5,0.60328
6,1e+12,100,6,0.33948
6,1e+12,165,0,2.6386e-22
6,1e+12,165,1,2.6211e-15
6,1e+12,165,2,6.5525e-11
6,1e+12,165,3,2.2282e-07
6,1e+12,165,4,0.0017412
6,1e+12,165,5,0.12578
6,1e+12,165,6,0.87248
6,1e+12,235,0,4.9111e-24
6,1e+12,235,1,7.5859e-17
6,1e+12,235,2,2.9703e-12
6,1e+12,235,3,1.7045e-08
6,1e+12,235,4,0.00019259
6,1e+12,235,5,0.038157
6,1e+12,235,6,0.96165
6,1e+12,310,0,2.8102e-25
6,1e+12,310,1,6.0675e-18
6,1e+12,310,2,3.3892e-13
6,1e+12,310,3,2.8667e-09
6,1e+12,310,4,4.4558e-05
6,1e+12,310,5,0.017226
6,1e+12,310,6,0.98273
6,1e+12,390,0,2.9982e-26
6,1e+12,390,1,8.5029e-19
6,1e+12,390,2,6.3763e-14
6,1e+12,390,3,7.5137e-10
6,1e+12,390,4,1.5354e-05
6,1e+12,390,5,0.0096757
6,1e+12,390,6,0.99031
6,1e+12,475,0,4.8331e-27
6,1e+12,475,1,1.7279e-19
6,1e+12,475,2,1.6658e-14
6,1e+12,475,3,2.5426e-10
6,1e+12,475,4,6.6908e-06
6,1e+12,475,5,0.0062272
6,1e+12,475,6,0.99377
6,1e+12,655,0,2.9423e-28
6,1e+12,655,1,1.5279e-20
6,1e+12,655,2,2.2108e-15
6,1e+12,655,3,5.1061e-11
6,1e+12,655,4,1.9798e-06
6,1e+12,655,5,0.0032958
6,1e+12,655,6,0.9967
6,1e+12,845,0,3.4723e-29
6,1e+12,845,1,2.4159e-21
6,1e+12,845,2,4.8103e-16
6,1e+12,845,3,1.5524e-11
6,1e+12,845,4,8.3562e-07
6,1e+12,845,5,0.0021054
6,1e+12,845,6,0.99789
6,1e+12,1000,0,8.8035e-30
6,1e+12,1000,1,7.4202e-22
6,1e+12,1000,2,1.8224e-16
6,1e+12,1000,3,7.326e-12
6,1e+12,1000,4,4.8995e-07
6,1e+12,1000,5,0.0016066
6,1e+12,1000,6,0.99839
6,1e+12,1441,0,4.9017e-31
6,1e+12,1441,1,6.2356e-23
6,1e+12,1441,2,2.4067e-17
6,1e+12,1441,3,1.5514e-12
6,1e+12,1441,4,1.6523e-07
6,1e+12,1441,5,0.00093234
6,1e+12,1441,6,0.99907
6,1e+12,1925,0,5.3795e-32
6,1e+12,1925,1,9.4404e-24
6,1e+12,1925,2,5.197e-18
6,1e+12,1925,3,4.8541e-13
6,1e+12,1925,4,7.4432e-08
6,1e+12,1925,5,0.00062965
6,1e+12,1925,6,0.99937
6,1e+12,2454,0,8.6915e-33
6,1e+12,2454,1,1.9909e-24
6,1e+12,2454,2,1.4733e-18
6,1e+12,2454,3,1.8754e-13
6,1e+12,2454,4,3.9024e-08
6,1e+12,2454,5,0.00045505
6,1e+12,2454,6,0.99954
6,1e+12,3030,0,1.845e-33
6,1e+12,3030,1,5.3132e-25
6,1e+12,3030,2,5.0725e-19
6,1e+12,3030,3,8.4225e-14
6,1e+12,3030,4,2.282e-08
6,1e+12,3030,5,0.00035038
6,1e+12,3030,6,0.99965
6,1e+12,3655,0,4.8602e-34
6,1e+12,3655,1,1.7124e-25
6,1e+12,3655,2,2.0485e-19
6,1e+12,3655,3,4.2991e-14
6,1e+12,3655,4,1.4539e-08
6,1e+12,3655,5,0.0002766
6,1e+12,3655,6,0.99972
6,1e+12,4331,0,1.4827e-34
6,1e+12,4331,1,6.2593e-26
6,1e+12,4331,2,9.1764e-20
6,1e+12,4331,3,2.3799e-14
6,1e+12,4331,4,9.8837e-09
6,1e+12,4331,5,0.00023075
6,1e+12,4331,6,0.99977
6,1e+12,5060,0,4.9842e-35
6,1e+12,5060,1,2.4802e-26
6,1e+12,5060,2,4.3777e-20
6,1e+12,5060,3,1.3772e-14
6,1e+12,5060,4,6.9001e-09
6,1e+12,5060,5,0.00019619
6,1e+12,5060,6,0.9998
6,1e+12,5844,0,1.6729e-35
6,1e+12,5844,1,9.7836e-27
6,1e+12,5844,2,2.0919e-20
6,1e+12,5844,3,7.9984e-15
6,1e+12,5844,4,4.8202e-09
6,1e+12,5844,5,0.00016395
6,1e+12,5844,6,0.99984
6,1e+12,6685,0,6.4044e-36
6,1e+12,6685,1,4.3141e-27
6,1e+12,6685,2,1.0847e-20
6,1e+12,6685,3,4.9082e-15
6,1e+12,6685,4,3.4843e-09
6,1e+12,6685,5,0.00013939
6,1e+12,6685,6,0.99986
6,1e+12,7585,0,2.6222e-36
6,1e+12,7585,1,2.0158e-27
6,1e+12,7585,2,5.9005e-21
6,1e+12,7585,3,3.1268e-15
6,1e+12,7585,4,2.5889e-09
6,1e+12,7585,5,0.0001202
6,1e+12,7585,6,0.99988
6,1e+12,8546,0,1.1369e-36
6,1e+12,8546,1,9.8944e-28
6,1e+12,8546,2,3.343e-21
6,1e+12,8546,3,2.056e-15
6,1e+12,8546,4,1.9688e-09
6,1e+12,8546,5,0.0001049
6,1e+12,8546,6,0.9999
6,1e+12,10000,0,3.8211e-37
6,1e+12,10000,1,3.9127e-28
6,1e+12,10000,2,1.5968e-21
6,1e+12,10000,3,1.1945e-15
6,1e+12,10000,4,1.3857e-09
6,1e+12,10000,5,8.8156e-05
6,1e+12,10000,6,0.99991
6,1e+12,20000,0,3.3304e-39
6,1e+12,20000,1,6.912e-30
6,1e+12,20000,2,6.4971e-23
6,1e+12,20000,3,1.1515e-16
6,1e+12,20000,4,3.0735e-10
6,1e+12,20000,5,4.2566e-05
6,1e+12,20000,6,0.99996
6,1e+12,50000,0,5.2871e-42
6,1e+12,50000,1,2.7426e-32
6,1e+12,50000,2,7.9143e-25
6,1e+12,50000,3,4.4403e-18
6,1e+12,50000,4,3.596e-11
6,1e+12,50000,5,1.4812e-05
6,1e+12,50000,6,0.99999
6,1e+12,1e+05,0,3.36312e-44
6,1e+12,1e+05,1,3.4337e-34
6,1e+12,1e+05,2,2.4013e-26
6,1e+12,1e+05,3,3.3246e-19
6,1e+12,1e+05,4,6.3965e-12
6,1e+12,1e+05,5,6.2869e-06
6,1e+12,1e+05,6,0.99999
6,1e+13,0.5,0,1
6,1e+13,0.5,1,4.1558e-06
6,1e+13,0.5,2,4.6653e-23
6,1e+13,0.5,3,0
6,1e+13,0.5,4,0
6,1e+13,0.5,5,0
6,1e+13,0.5,6,0
6,1e+13,1,0,0.42044
6,1e+13,1,1,0.57956
6,1e+13,1,2,4.8032e-07
6,1e+13,1,3,7.8385e-26
6,1e+13,1,4,0
6,1e+13,1,5,0
6,1e+13,1,6,0
6,1e+13,1.5,0,0.007555
6,1e+13,1.5,1,0.98846
6,1e+13,1.5,2,0.0039899
6,1e+13,1.5,3,7.195e-15
6,1e+13,1.5,4,2.331e-31
6,1e+13,1.5,5,0
6,1e+13,1.5,6,0
6,1e+13,2,0,0.00058287
6,1e+13,2,1,0.76939
6,1e+13,2,2,0.23002
6,1e+13,2,3,1.4955e-09
6,1e+13,2,4,3.0857e-21
6,1e+13,2,5,0
6,1e+13,2,6,0
6,1e+13,5,0,5.3063e-08
6,1e+13,5,1,0.0027385
6,1e+13,5,2,0.97063
6,1e+13,5,3,0.026598
