"subshell","CCp","Eic","Vi_q0","nmax","Occ","nh","Z","Ebind","shell_colours","multiplier"
"K",0.00092,1934.65,65.3499999999999,2,1,2,72,76.0778,"rgb(123,104,238)",1.16415914307575
"K",0.00092,1934.65,65.3499999999999,2,2,1,72,74.56593,"rgb(123,104,238)",0.57051208875287
"L1",0.0001207,1988.73,11.27,2,3,2,72,18.50232,"rgb(25,25,112)",1.64173203194321
"L1",0.0001207,1988.73,11.27,2,4,1,72,18.18,"rgb(25,25,112)",0.806566104702752
"L2",8.4e-06,1989.26,10.74,2,5,2,72,17.68,"rgb(0,0,139)",1.64618249534451
"L2",8.4e-06,1989.26,10.74,2,6,1,72,17.28,"rgb(0,0,139)",0.804469273743016
"L3",3.24e-06,1990.44,9.55999999999995,4,7,4,72,15.68,"rgb(0,0,205)",1.64016736401675
"L3",3.24e-06,1990.44,9.55999999999995,4,8,3,72,15.351,"rgb(0,0,205)",1.20431485355649
"L3",3.24e-06,1990.44,9.55999999999995,4,9,2,72,14.999,"rgb(0,0,205)",0.784466527196657
"L3",3.24e-06,1990.44,9.55999999999995,4,10,1,72,14.678,"rgb(0,0,205)",0.383838912133893
"M1",2.67e-05,1997.4,2.59999999999991,2,11,2,72,6.674,"rgb(0,0,255)",2.56692307692317
"M1",2.67e-05,1997.4,2.59999999999991,2,12,1,72,6.545,"rgb(0,0,255)",1.25865384615389
"M2",2.09e-06,1997.63,2.36999999999989,2,13,2,72,6.284,"rgb(65,105,225)",2.65147679324907
"M2",2.09e-06,1997.63,2.36999999999989,2,14,1,72,6.149,"rgb(65,105,225)",1.2972573839663
"M3",8.28e-07,1997.89,2.1099999999999,4,15,4,72,5.713,"rgb(70,130,180)",2.70758293838875
"M3",8.28e-07,1997.89,2.1099999999999,4,16,3,72,5.595,"rgb(70,130,180)",1.98874407582948
"M3",8.28e-07,1997.89,2.1099999999999,4,17,2,72,5.468,"rgb(70,130,180)",1.29573459715646
"M3",8.28e-07,1997.89,2.1099999999999,4,18,1,72,5.35,"rgb(70,130,180)",0.633886255924201
"M4",2.51e-09,1998.28,1.72000000000003,4,19,4,72,4.98,"rgb(100,149,237)",2.89534883720926
"M4",2.51e-09,1998.28,1.72000000000003,4,20,3,72,4.846,"rgb(100,149,237)",2.1130813953488
"M4",2.51e-09,1998.28,1.72000000000003,4,21,2,72,4.703,"rgb(100,149,237)",1.36715116279068
"M4",2.51e-09,1998.28,1.72000000000003,4,22,1,72,4.573,"rgb(100,149,237)",0.664680232558129
"M5",4.26e-09,1998.34,1.66000000000008,6,23,6,72,4.372,"rgb(0,191,255)",2.63373493975891
"M5",4.26e-09,1998.34,1.66000000000008,6,24,5,72,4.246,"rgb(0,191,255)",2.13152610441757
