"Z","Species","CS","Occ","Element","Iso_elec","Ground_Shells","Ground_Config","Ground_Level","Ionized_Level","IE","IE_uncertainty","References"
1,"H I",0,1,"Hydrogen","H","1s","1s","2S1/2","2S1/2",0.013598434599702,1.2e-14,"HDEL"
2,"He I",0,2,"Helium","He","1s2","1s2","1S0","1s 2S1/2",0.024587389011,2.5e-11,"L17714"
2,"He II",1,1,"Helium","H","1s","1s","2S1/2",NA,0.054417765486,2.5e-11,"L7188c95"
3,"Li I",0,3,"Lithium","Li","1s22s","1s22s","2S1/2","1s2 1S0",0.005391714996,2.2e-11,"L12261"
3,"Li II",1,2,"Lithium","He","1s2","1s2","1S0","1s 2S1/2",0.075640097,1.2e-09,"L10054"
3,"Li III",2,1,"Lithium","H","1s","1s","2S1/2",NA,0.12245435914,2.5e-10,"L3620c96"
4,"Be I",0,4,"Beryllium","Be","1s22s2","1s22s2","1S0","2s 2S1/2",0.009322699,7e-09,"L5964"
4,"Be II",1,3,"Beryllium","Li","1s22s","1s22s","2S1/2","1s2 1S0",0.01821115,4e-08,"L12158"
4,"Be III",2,2,"Beryllium","He","1s2","1s2","1S0","1s 2S1/2",0.153896205,4e-09,"L10054"
4,"Be IV",3,1,"Beryllium","H","1s","1s","2S1/2",NA,0.2177185861,1e-09,"L3620c97"
5,"B I",0,5,"Boron","B","1s22s22p","2s22p","2P°1/2","2s2 1S0",0.008298019,3e-09,"L12312"
5,"B II",1,4,"Boron","Be","1s22s2","1s22s2","1S0","2s 2S1/2",0.02515483,5e-08,"L12120"
5,"B III",2,3,"Boron","Li","1s22s","1s22s","2S1/2","1s2 1S0",0.03793059,7e-08,"L12547"
5,"B IV",3,2,"Boron","He","1s2","1s2","1S0","1s 2S1/2",0.2593715,2.5e-06,"L12548"
5,"B V",4,1,"Boron","H","1s","1s","2S1/2",NA,0.3402260229,2.5e-09,"L12548"
6,"C I",0,6,"Carbon","C","1s22s22p2","2s22p2","3P0","2s22p 2P°1/2",0.011260288,1.1e-09,"L20057"
6,"C II",1,5,"Carbon","B","1s22s22p","2s22p","2P°1/2","2s2 1S0",0.024383154,1.6e-08,"c190"
6,"C III",2,4,"Carbon","Be","1s22s2","1s22s2","1S0","2s 2S1/2",0.04788778,2.5e-07,"L876c191"
6,"C IV",3,3,"Carbon","Li","1s22s","1s22s","2S1/2","1s2 1S0",0.06449352,1.9e-07,"L11667"
6,"C V",4,2,"Carbon","He","1s2","1s2","1S0","1s 2S1/2",0.392090518,2.5e-08,"L10054"
6,"C VI",5,1,"Carbon","H","1s","1s","2S1/2",NA,0.489993198,6e-09,"L7188"
7,"N I",0,7,"Nitrogen","N","1s22s22p3","2s22p3","4S°3/2","2p2 3P0",0.01453413,4e-08,"L1411"
7,"N II",1,6,"Nitrogen","C","1s22s22p2","2s22p2","3P0","2p 2P°1/2",0.02960125,9e-08,"L11770"
7,"N III",2,5,"Nitrogen","B","1s22s22p","2s22p","2P°1/2","2s2 1S0",0.0474453,2.5e-06,"L11770"
7,"N IV",3,4,"Nitrogen","Be","1s22s2","1s22s2","1S0","2s 2S1/2",0.0774735,4e-07,"L7288,L876"
7,"N V",4,3,"Nitrogen","Li","1s22s","1s22s","2S1/2","1s2 1S0",0.0978901,4e-07,"L4829"
7,"N VI",5,2,"Nitrogen","He","1s2","1s2","1S0","1s 2S1/2",0.55206733,4e-08,"L10054"
7,"N VII",6,1,"Nitrogen","H","1s","1s","2S1/2",NA,0.667046121,1.2e-08,"L7188"
8,"O I",0,8,"Oxygen","O","1s22s22p4","2s22p4","3P2","2p3 4S°3/2",0.013618055,7e-09,"L74,L3760"
8,"O II",1,7,"Oxygen","N","1s22s22p3","2s22p3","4S°3/2","2p2 3P0",0.03512112,6e-08,"L11267,L10621"
8,"O III",2,6,"Oxygen","C","1s22s22p2","2s22p2","3P0","2p 2P°1/2",0.05493554,1.2e-07,"L11770"
8,"O IV",3,5,"Oxygen","B","1s22s22p","2s22p","2P°1/2","2s2 1S0",0.0774135,2.5e-07,"L648"
8,"O V",4,4,"Oxygen","Be","1s22s2","1s22s2","1S0","2s 2S1/2",0.113899,5e-07,"L7288"
8,"O VI",5,3,"Oxygen","Li","1s22s","1s22s","2S1/2","1s2 1S0",0.1381189,2.1e-06,"L4713"
8,"O VII",6,2,"Oxygen","He","1s2","1s2","1S0","1s 2S1/2",0.73932683,6e-08,"L10054"
8,"O VIII",7,1,"Oxygen","H","1s","1s","2S1/2",NA,0.871409883,2.5e-08,"L7188"
9,"F I",0,9,"Fluorine","F","1s22s22p5","2s22p5","2P°3/2","2p4 3P2",0.01742282,5e-08,"L7481,L526"
9,"F II",1,8,"Fluorine","O","1s22s22p4","2s22p4","3P2","2p3 4S°3/2",0.03497081,1.2e-07,"L369"
9,"F III",2,7,"Fluorine","N","1s22s22p3","2s22p3","4S°3/2","2p2 3P0",0.06270798,2.5e-07,"L11770"
9,"F IV",3,6,"Fluorine","C","1s22s22p2","2s22p2","3P0","2p 2P°1/2",0.087175,1.7e-05,"L11770"
9,"F V",4,5,"Fluorine","B","1s22s22p","2s22p","2P°1/2","2s2 1S0",0.114249,6e-06,"L11770"
9,"F VI",5,4,"Fluorine","Be","1s22s2","1s22s2","1S0","2s 2S1/2",0.15716311,2.5e-07,"L6491"
9,"F VII",6,3,"Fluorine","Li","1s22s","1s22s","2S1/2","1s2 1S0",0.1851868,6e-07,"L6335"
9,"F VIII",7,2,"Fluorine","He","1s2","1s2","1S0","1s 2S1/2",0.95389805,1e-07,"L10054"
9,"F IX",8,1,"Fluorine","H","1s","1s","2S1/2",NA,1.10311748,5e-08,"L7188"
10,"Ne I",0,10,"Neon","Ne","1s22s22p6","2s22p6","1S0","2p5 2P°3/2",0.021564541,7e-09,"L8826,L1407"
