"At. Num. "," Sp.  Name. "," Ion  Charge "," El.  name "," Isoel.  Seq. "," Ground  Shells "," Ground  Config. "," Ground  Level "," Ionized  Level "," Ionization  Energy 
 (eV) ","Uncertainty
 (eV) "," References "
1,"H I ",0,"Hydrogen ","H ","1s ","1s "," 2S1/2 "," 2S1/2 ","  (13.598434599702)             ",1.2E-11," HDEL "
2,"He I ",0,"Helium ","He ","1s2 ","1s2 "," 1S0 ","1s 2S1/2 ",24.587389011,2.5E-08," L17714 "
2,"He II ",1,"Helium ","H ","1s ","1s "," 2S1/2 "," ","  (54.417765486)             ",2.5E-08," L7188c95 "
3,"Li I ",0,"Lithium ","Li ","1s22s ","1s22s "," 2S1/2 ","1s2 1S0 ",5.391714996,2.2E-08," L12261 "
3,"Li II ",1,"Lithium ","He ","1s2 ","1s2 "," 1S0 ","1s 2S1/2 ","  [75.6400970]               ",1.2E-06," L10054 "
3,"Li III ",2,"Lithium ","H ","1s ","1s "," 2S1/2 "," ","  (122.45435914)              ",2.5E-07," L3620c96 "
4,"Be I ",0,"Beryllium ","Be ","1s22s2 ","1s22s2 "," 1S0 ","2s 2S1/2 ",9.322699,7E-06," L5964 "
4,"Be II ",1,"Beryllium ","Li ","1s22s ","1s22s "," 2S1/2 ","1s2 1S0 ",18.21115,4E-05," L12158 "
4,"Be III ",2,"Beryllium ","He ","1s2 ","1s2 "," 1S0 ","1s 2S1/2 ","  [153.896205]              ",4E-06," L10054 "
4,"Be IV ",3,"Beryllium ","H ","1s ","1s "," 2S1/2 "," ","  (217.7185861)             ",1E-06," L3620c97 "
5,"B I ",0,"Boron ","B ","1s22s22p ","2s22p "," 2P°1/2 ","2s2 1S0 ",8.298019,3E-06," L12312 "
5,"B II ",1,"Boron ","Be ","1s22s2 ","1s22s2 "," 1S0 ","2s 2S1/2 ",25.15483,5E-05," L12120 "
5,"B III ",2,"Boron ","Li ","1s22s ","1s22s "," 2S1/2 ","1s2 1S0 ",37.93059,7E-05," L12547 "
5,"B IV ",3,"Boron ","He ","1s2 ","1s2 "," 1S0 ","1s 2S1/2 ",259.3715,0.0025," L12548 "
5,"B V ",4,"Boron ","H ","1s ","1s "," 2S1/2 "," ","  (340.2260229)             ",2.5E-06," L12548 "
6,"C I ",0,"Carbon ","C ","1s22s22p2 ","2s22p2 "," 3P0 ","2s22p 2P°1/2 ",11.260288,1.1E-06," L20057 "
6,"C II ",1,"Carbon ","B ","1s22s22p ","2s22p "," 2P°1/2 ","2s2 1S0 ",24.383154,1.6E-05," c190 "
6,"C III ",2,"Carbon ","Be ","1s22s2 ","1s22s2 "," 1S0 ","2s 2S1/2 ",47.88778,0.00025," L876c191 "
6,"C IV ",3,"Carbon ","Li ","1s22s ","1s22s "," 2S1/2 ","1s2 1S0 ",64.49352,0.00019," L11667 "
6,"C V ",4,"Carbon ","He ","1s2 ","1s2 "," 1S0 ","1s 2S1/2 ","  [392.090518]              ",2.5E-05," L10054 "
6,"C VI ",5,"Carbon ","H ","1s ","1s "," 2S1/2 "," ","  (489.993198)              ",6E-06," L7188 "
7,"N I ",0,"Nitrogen ","N ","1s22s22p3 ","2s22p3 "," 4S°3/2 ","2p2 3P0 ",14.53413,4E-05," L1411 "
7,"N II ",1,"Nitrogen ","C ","1s22s22p2 ","2s22p2 "," 3P0 ","2p 2P°1/2 ","  [29.60125]              ",9E-05," L11770 "
7,"N III ",2,"Nitrogen ","B ","1s22s22p ","2s22p "," 2P°1/2 ","2s2 1S0 ","  [47.4453]               ",0.0025," L11770 "
7,"N IV ",3,"Nitrogen ","Be ","1s22s2 ","1s22s2 "," 1S0 ","2s 2S1/2 ",77.4735,0.0004," L7288,L876 "
7,"N V ",4,"Nitrogen ","Li ","1s22s ","1s22s "," 2S1/2 ","1s2 1S0 ",97.8901,0.0004," L4829 "
7,"N VI ",5,"Nitrogen ","He ","1s2 ","1s2 "," 1S0 ","1s 2S1/2 ","  [552.06733]              ",4E-05," L10054 "
7,"N VII ",6,"Nitrogen ","H ","1s ","1s "," 2S1/2 "," ","  (667.046121)             ",1.2E-05," L7188 "
8,"O I ",0,"Oxygen ","O ","1s22s22p4 ","2s22p4 "," 3P2 ","2p3 4S°3/2 ",13.618055,7E-06," L74,L3760 "
8,"O II ",1,"Oxygen ","N ","1s22s22p3 ","2s22p3 "," 4S°3/2 ","2p2 3P0 ",35.12112,6E-05," L11267,L10621 "
8,"O III ",2,"Oxygen ","C ","1s22s22p2 ","2s22p2 "," 3P0 ","2p 2P°1/2 ","  [54.93554]              ",0.00012," L11770 "
8,"O IV ",3,"Oxygen ","B ","1s22s22p ","2s22p "," 2P°1/2 ","2s2 1S0 ",77.4135,0.00025," L648 "
8,"O V ",4,"Oxygen ","Be ","1s22s2 ","1s22s2 "," 1S0 ","2s 2S1/2 ",113.899,0.0005," L7288 "
8,"O VI ",5,"Oxygen ","Li ","1s22s ","1s22s "," 2S1/2 ","1s2 1S0 ","  [138.1189]               ",0.0021," L4713 "
8,"O VII ",6,"Oxygen ","He ","1s2 ","1s2 "," 1S0 ","1s 2S1/2 ","  [739.32683]              ",6E-05," L10054 "
8,"O VIII ",7,"Oxygen ","H ","1s ","1s "," 2S1/2 "," ","  (871.409883)             ",2.5E-05," L7188"
9,"F I ",0,"Fluorine ","F ","1s22s22p5 ","2s22p5 "," 2P°3/2 ","2p4 3P2 ",17.42282,5E-05," L7481,L526 "
9,"F II ",1,"Fluorine ","O ","1s22s22p4 ","2s22p4 "," 3P2 ","2p3 4S°3/2 ",34.97081,0.00012," L369 "
9,"F III ",2,"Fluorine ","N ","1s22s22p3 ","2s22p3 "," 4S°3/2 ","2p2 3P0 ","  [62.70798]             ",0.00025," L11770 "
9,"F IV ",3,"Fluorine ","C ","1s22s22p2 ","2s22p2 "," 3P0 ","2p 2P°1/2 ","  [87.175]               ",0.017," L11770 "
9,"F V ",4,"Fluorine ","B ","1s22s22p ","2s22p "," 2P°1/2 ","2s2 1S0 ","  [114.249]               ",0.006," L11770 "
