"Facility","Wavelength_nm","Pulse_Energy_J","Pulse_Duration_fs","Max_Repetition_Rate_Hz","Spot_Diameter_um","Power_W","Intensity_Wcm2","Irradiance_Wcm2um2","Te_SSLP_keV","Te_Beg_keV","Te_Pond_keV","Te_chosen_keV","Ne","tp","ne"
"XFELO",0.00496,0.041,10000,1e+06,1.80628789887501,4.1e+09,160000017642527008,3936256.43403439,0.00586297147870534,0.0363152437786221,1.41705231625238e-09,1.41705231625238e-09,9.03036833769162e+22,1.62938068780764e-07,1.17549540527278e+31
"SACLA",0.006326,0.001,100,10,1.80223741636612,1e+10,392000043224190784,15687165.9217576,0.00929547278474337,0.0575761559546329,5.64737973183274e-09,5.64737973183274e-09,5.52663142009705e+20,8.14361138260163e-08,7.22646516865416e+30
"EurXFEL",0.005,0.002,100,27000,1.78412401778885,2e+10,800000088212633728,20000002.2053158,0.0100793687696288,0.0624316074763729,7.20000079391371e-09,7.20000079391371e-09,8.66971745157286e+20,7.13982063776758e-08,1.15676271049435e+31
"LCLS",0.1204,0.004,100,30,1.80685262857425,4e+10,1560000172014631936,22614012093.5516,0.105006421956115,0.650409749647841,8.14104435367858e-06,8.14104435367858e-06,1533512650772534016,2.15036016245895e-09,1.99494678331081e+28
"Orion_Long_Pulse",351,400,1e+06,6.94444e-05,50,4e+11,20371832715762612,2509830162414670,5.04628101597633,31.2566632698476,0.903538858469281,0.903538858469281,1381721924834167552,1.78617958417593e-10,2.34730787593923e+21
"Orion_Short_Pulse_1",527,200,500,6.94e-05,25,4e+14,81487330863050440704,22631394913264136192,105.033320326386,650.576358146142,8147.30216877509,650.576358146142,959487256994818,3.32827654490047e-12,1.30400304415959e+22
"Bella",815,40,30,1,65,1333333333333333,40181129616888750080,26689310819777933312,110.96919616985,687.343171540675,9608.15189512006,687.343171540675,181632625794226,8.41889474063408e-12,6.0860471010362e+21
"Hercules",815,15,30,0.0167,25,5e+14,1.01859163578813e+20,67657402928137101312,151.307954912853,937.201432458339,24356.6650541294,937.201432458339,49953486816539,2.77301405686776e-12,1.13149841925597e+22
"Titan",1053,130,700,0.000278,19.5,185714285714286,62185081549946896384,68951378088315060224,152.26647850699,943.138527345305,24822.4961117934,943.138527345305,430204905969881,2.15613228487983e-12,6.86431984913742e+21
"LOA",800,2.5,25,10,5,1e+14,5.09295817894065e+20,3.25949323452202e+20,255.548507177925,1582.8673854437,117341.756442793,1582.8673854437,4929501131015.01,4.26752695847005e-13,3.34974979301182e+22
"MBO",800,3.5,35,10,5,1e+14,5.09295817894065e+20,3.25949323452202e+20,255.548507177925,1582.8673854437,117341.756442793,1582.8673854437,6901301583421.02,4.26752695847005e-13,3.34974979301182e+22
"Diocles",805,20,30,0.1,10,666666666666666,8.48826363156775e+20,5.50060703984669e+20,304.247389388194,1884.50824889249,198021.853434481,1884.50824889249,33123745980425.9,7.82221075233718e-13,4.68929555837821e+22
"Orion_Short_Pulse_2",1054,500,500,6.94e-05,15,1e+15,5.65884242104517e+20,6.28649858701781e+20,318.097015497685,1970.29282932849,226313.949132641,1970.29282932849,792039279709588,1.14750452015466e-12,2.99008554455008e+22
