"AX","Egam","DE","RI","DRI","TI","Mult","MR","DMR","CC","DCC","E_feed","Continuation","Delete","Braw","Btype","B","B2raw","B2type","B2","FLraw","FL","Mult_Clean","Mult_Cleaner","M"
"6LI",2186,NA,NA,NA,NA,"E2",NA,NA,NA,NA,2186,0,FALSE,"BE2W=16.5","BE2W",16.5,"BE2W=16.5","BE2W=",16.5,NA,0,"E2","E2",6
"6LI",3561.75,NA,NA,NA,NA,"M1",NA,NA,NA,NA,3562.88,0,FALSE,"BM1W=8.62","BM1W",8.62,"BM1W=8.62","BM1W=",8.62,NA,0,"M1","M1",6
"6LI",4310,NA,NA,NA,NA,"E2",NA,NA,NA,NA,4312,0,FALSE,"BE2W=6.8","BE2W",6.8,"BE2W=6.8","BE2W=",6.8,NA,0,"E2","E2",6
"6LI",5363,NA,NA,NA,NA,"M1",NA,NA,NA,NA,5366,0,FALSE,"BM1W=8.3E-2","BM1W",0.083,"BM1W=8.3E-2","BM1W=",0.083,NA,0,"M1","M1",6
"7LI",477.595,NA,NA,NA,NA,"M1(+E2)",NA,NA,NA,NA,477.612,0,FALSE,"BM1W=2.75","BM1W",2.75,"BE2W=19.7","BE2W=",19.7,NA,0,"M1+E2","M1+E2",7
"7LI",4628,NA,NA,NA,NA,"E2",NA,NA,NA,NA,4630,0,FALSE,"BE2W=4.3","BE2W",4.3,"BE2W=4.3","BE2W=",4.3,NA,0,"E2","E2",7
"7BE",429.07,NA,NA,NA,NA,"M1",NA,NA,NA,NA,429.08,0,FALSE,"BM1W=2.07","BM1W",2.07,"BM1W=2.07","BM1W=",2.07,NA,0,"M1","M1",7
"8LI",980.7,NA,NA,NA,NA,"M1",NA,NA,NA,NA,980.8,0,FALSE,"BM1W=2.8","BM1W",2.8,"BM1W=2.8","BM1W=",2.8,NA,0,"M1","M1",8
"8LI",2255,NA,NA,NA,NA,"M1",NA,NA,NA,NA,2255,0,FALSE,"BM1W=0.29","BM1W",0.29,"BM1W=0.29","BM1W=",0.29,NA,0,"M1","M1",8
"8BE",16607,NA,NA,NA,NA,"E2",NA,NA,NA,NA,16626,0,FALSE,"BE2W=7.1E-2","BE2W",0.071,"BE2W=7.1E-2","BE2W=",0.071,NA,0,"E2","E2",8
"8BE",16903,NA,NA,NA,NA,"E2",NA,NA,NA,NA,16922,0,FALSE,"BE2W=7.8E-2","BE2W",0.078,"BE2W=7.8E-2","BE2W=",0.078,NA,0,"E2","E2",8
"8BE",718,NA,NA,NA,NA,"M1",NA,NA,NA,NA,17640,0,FALSE,"BM1W=0.17","BM1W",0.17,"BM1W=0.17","BM1W=",0.17,NA,0,"M1","M1",8
"8BE",1014,NA,NA,NA,NA,"M1+E2",-0.014,13,NA,NA,17640,0,FALSE,"BM1W=1.5","BM1W",1.5,"BM1W=1.5","BM1W=",1.5,NA,0,"M1+E2","M1+E2",8
"8BE",14586,NA,NA,NA,NA,"M1+E2",0.21,4,NA,NA,17640,0,FALSE,"BM1W=0.10","BM1W",0.1,"BE2W=0.23","BE2W=",0.23,NA,0,"M1+E2","M1+E2",8
"8BE",17619,NA,NA,NA,NA,"M1",NA,NA,NA,NA,17640,0,FALSE,"BM1W=0.13","BM1W",0.13,"BM1W=0.13","BM1W=",0.13,NA,0,"M1","M1",8
"8BE",1228,NA,NA,NA,NA,"M1",NA,NA,NA,NA,18150,0,FALSE,"BM1W=1.6","BM1W",1.6,"BM1W=1.6","BM1W=",1.6,NA,0,"M1","M1",8
"8BE",1524,NA,NA,NA,NA,"M1",NA,NA,NA,NA,18150,0,FALSE,"BM1W=1.0","BM1W",1,"BM1W=1.0","BM1W=",1,NA,0,"M1","M1",8
"8BE",15095,NA,NA,NA,NA,"M1",NA,NA,NA,NA,18150,0,FALSE,"BM1W=5.9E-2","BM1W",0.059,"BM1W=5.9E-2","BM1W=",0.059,NA,0,"M1","M1",8
"8BE",18128,NA,NA,NA,NA,"M1",NA,NA,NA,NA,18150,0,FALSE,"BM1W=1.5E-2","BM1W",0.015,"BM1W=1.5E-2","BM1W=",0.015,NA,0,"M1","M1",8
"8BE",1988,NA,NA,NA,NA,"E1",NA,NA,NA,NA,18910,0,FALSE,"BE1W=4.6E-2","BE1W",0.046,"BE1W=4.6E-2","BE1W=",0.046,NA,0,"E1","E1",8
"8BE",2284,NA,NA,NA,NA,"E1",NA,NA,NA,NA,18910,0,FALSE,"BE1W=5.3E-2","BE1W",0.053,"BE1W=5.3E-2","BE1W=",0.053,NA,0,"E1","E1",8
"8BE",16013,NA,NA,NA,NA,"M1",NA,NA,NA,NA,19069,0,FALSE,"BM1W=0.122","BM1W",0.122,"BM1W=0.122","BM1W=",0.122,NA,0,"M1","M1",8
"8BE",9847.6,NA,NA,NA,NA,"M1",NA,NA,NA,NA,27494.1,0,FALSE,"BM1W=1.10","BM1W",1.1,"BM1W=1.10","BM1W=",1.1,NA,0,"M1","M1",8
"8B",769.5,24,NA,NA,NA,"M1",NA,NA,NA,NA,769.5,0,FALSE,"BM1W=2.63","BM1W",2.63,"BM1W=2.63","BM1W=",2.63,NA,0,"M1","M1",8
"8B",2320,30,NA,NA,NA,"M1",NA,NA,NA,NA,2320,0,FALSE,"BM1W=0.38","BM1W",0.38,"BM1W=0.38","BM1W=",0.38,NA,0,"M1","M1",8
"9BE",1684,20,100,NA,NA,"E1",NA,NA,NA,NA,1684,0,FALSE,"BE1W=0.21","BE1W",0.21,"BE1W=0.21","BE1W=",0.21,NA,0,"E1","E1",9
