"AX","M","Z","E","J","Thalf","Eγ.keV.","λ","TF","Key"
"12BE",12,4,2251,"0+","233.0(75) ns","144(1)
2251(1)","E2
E0",TRUE,"2251;0+;233.0(75) ns"
"16N",16,7,120.42,"0-","5.25(6) μs","120.42(12)",NA,TRUE,"120.42;0-;5.25(6) μs"
"18F",18,9,1121.36,"5+","162(7) ns","184","E2",TRUE,"1121.36;5+;162(7) ns"
"19F",19,9,197.143,"5/2+","89.3(10) ns","87.3
197.1","E2",TRUE,"197.143;5/2+;89.3(10) ns"
"19NE",19,10,238.27,"5/2+","18.0(5) ns","238.3","E2",TRUE,"238.27;5/2+;18.0(5) ns"
"22NA",22,11,583.11,"1+","243(2) ns","583.04(10)","E2",TRUE,"583.11;1+;243(2) ns"
"24NA",24,11,472.2074,"1+","20.18(10) ms","472.2024(8)","M3",TRUE,"472.2074;1+;20.18(10) ms"
"24AL",24,13,425.8,"1+","130.9(13) ms","425.8(1)","M3",TRUE,"425.8;1+;130.9(13) ms"
"26F",26,9,643.4,"4+","2.2(1) ms",NA,NA,TRUE,"643.4;4+;2.2(1) ms"
"26NA",26,11,82.5,"1+","9(2) μs","82.5",NA,TRUE,"82.5;1+;9(2) μs"
"26AL",26,13,228.305,"0+","6.3463(67) s",NA,NA,TRUE,"228.305;0+;6.3463(67) s"
"31MG",31,12,50.1,"(3/2+)","16(3) ns","50.2(2)",NA,TRUE,"50.1;(3/2+);16(3) ns"
"31MG",31,12,461,"(7/2)","10.5(8) ns","239.9(5)",NA,TRUE,"461;(7/2);10.5(8) ns"
"32AL",32,13,956.6,"(4+)","200(20) ns","221.9(3)",NA,TRUE,"956.6;(4+);200(20) ns"
"32SI",32,14,5581,"(5)","27(2) ns","79(1)",NA,TRUE,"5581;(5);27(2) ns"
"33SI",33,14,1434.9,"7/2","10.2(3) ns","1434.9(5)","M2",TRUE,"1434.9;7/2;10.2(3) ns"
"34CL",34,17,146.36,"3+","31.99(3) min","146.36(3)",NA,TRUE,"146.36;3+;31.99(3) min"
"37K",37,19,1380.25,"7/2","10.4(5) ns","1380.2",NA,TRUE,"1380.25;7/2;10.4(5) ns"
"38CL",38,17,671.365,"5","715(3) ms","671.360(8)","M3",TRUE,"671.365;5;715(3) ms"
"38K",38,19,130.15,"0+","924.46(14) ms","130.1(2)","M3",TRUE,"130.15;0+;924.46(14) ms"
"40K",40,19,1643.639,"0+","0.336(12) μs","843.478(16)
1613.84(4)","M2
E3",TRUE,"1643.639;0+;0.336(12) μs"
