"q","Occ_after","Occ_equiv","fq","n","kappa","J_final","subshell","Capture_Config","Eres_eV","Vi_keV","GS","ICC","ICC_sum","Y_neec_SI","Ypdb","Ar","S_neec_beV","Spdb","Ratio","R_neec_p","sigma_b","shell","Gamma_neec_p"
42,1,4,0,3,1,0.5,"L1","2s",2117.6975733,2.7323024267,FALSE,2261.7282229966,0,7461.4602864,532.014920633168,0.287497167847221,1.7403126763e-05,1.24115865726203e-06,0.0713181415135585,0,85.2244199872709,"L",1.3e-07
42,1,5,0,3,-1,0.5,"L2","2p1/2",2118.5741943,2.7314258057,FALSE,279024.942965767,0,25.508434816,65633.6297956831,0.287497167847221,5.9474117956e-08,0.000153055803205141,2573.48588706056,0,0.291249226422395,"L",1.3e-07
42,1,6,0,3,2,1.5,"L2","2p1/2",2162.1398441,2.6878601559,FALSE,134155.741444861,0,272.52573154,63113.5566259227,0.287497167847221,6.2257664597e-07,0.000144207370464286,231.629906771727,0,3.04880463568303,"L",1.3e-07
42,1,7,0,3,-2,1.5,"L3","2p3/2",2162.2272497,2.6877727503,FALSE,462857.142857147,0,13647.414765,217751.101673377,0.287497167847221,3.117448952e-05,0.000497516594285823,15.9590935391786,0,152.663818629984,"L",1.3e-07
42,1,8,0,3,-3,2.5,"L3","2p3/2",2176.3193201,2.6736806799,FALSE,333980.357142859,0,366.73758909,235681.543951794,0.287497167847221,8.3233072399e-07,0.000534989832479472,642.761124946651,0,4.07598612339275,"L",1.3e-07
42,1,9,0,4,1,0.5,"L3","2p3/2",3320.117025,1.529882975,FALSE,213589.285714287,0,3222.9761439,50241.5302298469,0.287497167847221,4.7893146496e-06,7.46736434665943e-05,15.5917180076759,0,23.4536338617313,"L",1.3e-07
42,1,10,0,4,-1,0.5,"L3","2p3/2",3320.4870009,1.5295129991,FALSE,102672.321428572,0,6.7261047267,24151.0922402842,0.287497167847221,9.9940237372e-09,3.58915910419382e-05,3591.30536265805,0,0.0489414855124036,"L",1.3e-07
42,1,11,0,4,2,1.5,"M1","3s",3338.8277911,1.5111722089,FALSE,644.7348,0,133.00920053,303.315429293254,0.287497167847221,1.9654330878e-07,4.48281105107021e-07,2.28082608301259,0,0.96248735766073,"M",1.3e-07
42,1,12,0,4,-2,1.5,"M1","3s",3338.8643259,1.5111356741,FALSE,311.418,0,5939.871779,146.506570390875,0.287497167847221,8.7768916768e-06,2.1652510868503e-07,0.0246699078282317,0,42.9810983183026,"M",1.3e-07
42,1,13,0,4,3,2.5,"M2","3p1/2",3344.8110688,1.5051889312,FALSE,95219.999999981,0,13.376124421,67194.3607913624,0.287497167847221,1.9729993744e-08,9.91308093334524e-05,5024.37104743628,0,0.0966192625086084,"M",1.3e-07
42,1,14,0,4,-3,2.5,"M2","3p1/2",3344.8215124,1.5051784876,FALSE,46109.9999999907,0,177.79260648,32538.6680958802,0.287497167847221,2.6224597448e-07,4.80036473423431e-05,183.048176192325,0,1.28423825059825,"M",1.3e-07
42,1,15,0,4,-4,3.5,"M3","3p3/2",3347.775563,1.502224437,FALSE,162319.487179446,0,17.068120935,152726.376601649,0.287497167847221,2.5153380517e-08,0.000225114709980902,8949.68013658274,0,0.123177995223136,"M",1.3e-07
42,1,16,0,5,1,0.5,"M3","3p3/2",3874.0374279,0.9759625721,FALSE,115336.211538432,0,1664.5205359,27129.9552279767,0.287497167847221,2.1186773656e-06,3.4538908170952e-05,16.3021084435717,0,10.3753223246817,"M",1.3e-07
42,1,17,0,5,-1,0.5,"M3","3p3/2",3874.2269139,0.9757730861,FALSE,73254.7179486993,0,2.7739031061,17231.3377704802,0.287497167847221,3.5306144603e-09,2.19359880808941e-05,6213.0794306638,0,0.0172896844156452,"M",1.3e-07
42,1,18,0,5,2,1.5,"M3","3p3/2",3883.5964033,0.9664035967,FALSE,35056.3461538372,0,72.587453466,16492.2549288545,0.287497167847221,9.2165306664e-08,2.09442707147537e-05,227.24679679208,0,0.451340434989415,"M",1.3e-07
42,1,19,0,5,-2,1.5,"M4","3d3/2",3883.6150107,0.9663849893,FALSE,2206.33913043461,0,3081.2141289,1037.97204759892,0.287497167847221,3.9122039226e-06,1.31816195534845e-06,0.336935901457921,0,19.1583566973936,"M",1.3e-07
42,1,20,0,5,3,2.5,"M4","3d3/2",3886.6605161,0.9633394839,FALSE,1558.40543478249,0,8.8401328883,1099.72754719613,0.287497167847221,1.1215560529e-08,1.39548923958993e-06,124.424386635124,0,0.0549234430072832,"M",1.3e-07
42,1,21,0,5,-3,2.5,"M4","3d3/2",3886.665907,0.963334093,FALSE,971.645652173837,0,96.78503232,685.665915916198,0.287497167847221,1.2279189523e-07,8.70068298159087e-07,7.08571438309811,0,0.601321141460819,"M",1.3e-07
42,1,22,0,5,4,3.5,"M4","3d3/2",3888.1772127,0.9618227873,FALSE,453.706521739095,0,0.83059718315,426.892385565174,0.287497167847221,1.0533739337e-09,5.41489091891819e-07,514.052108722518,0,0.00515845133761567,"M",1.3e-07
42,1,23,0,5,-4,3.5,"M5","3d5/2",3888.1800324,0.9618199676,FALSE,2277.94782608678,0,11.259146705,2143.32070419387,0.287497167847221,1.4278982715e-08,2.71868034227668e-06,190.397341080938,0,0.0699252517358764,"M",1.3e-07
42,1,24,0,5,-5,4.5,"M5","3d5/2",3889.0849704,0.9609150296,FALSE,1735.7101449274,0,1.0087064129,2041.41170810584,0.287497167847221,1.2789546043e-09,2.58880977467366e-06,2024.16079974204,0,0.0062631368389072,"M",1.3e-07
40,3,6,0,3,-1,0.5,"L2","2p1/2",2345.432188,2.504567812,FALSE,134155.741444861,0,28.087573566,31556.7783129613,0.287497167847221,5.9140231676e-08,6.64569876442853e-05,1123.71875728134,0,0.289614160210316,"L",1.3e-07
40,3,7,0,3,1,0.5,"L3","2p3/2",2369.2341033,2.4807658967,FALSE,462857.142857147,0,6253.8408997,108875.550836689,0.287497167847221,1.3034776316e-05,0.000226977690921909,17.4132401983222,0,63.8322794704174,"L",1.3e-07
40,3,8,0,3,-2,1.5,"L3","2p3/2",2406.6595666,2.4433404334,FALSE,333980.357142859,0,11401.113856,157121.029301196,0.287497167847221,2.339284172e-05,0.000322451626962392,13.7842007748339,0,114.556504390902,"L",1.3e-07
40,3,9,0,3,2,1.5,"L3","2p3/2",2415.0579107,2.4349420893,FALSE,213589.285714287,0,219.10740502,100483.060459694,0.287497167847221,4.4801385681e-07,0.000205497557129245,458.685716983069,0,2.19395753492234,"L",1.3e-07
40,3,10,0,3,-3,2.5,"L3","2p3/2",2426.6939955,2.4233060045,FALSE,102672.321428572,0,297.98872049,72453.2767208525,0.287497167847221,6.0637577824e-07,0.00014746176980521,243.185455450111,0,2.96946776855664,"L",1.3e-07
40,3,11,0,4,-1,0.5,"M1","3s",3452.6141858,1.3973858142,FALSE,644.7348,0,7.7706959652,151.657714646627,0.287497167847221,1.1102849138e-08,2.16729595115377e-07,19.5201783273457,0,0.0543714868528089,"M",1.3e-07
40,3,12,0,4,1,0.5,"M1","3s",3462.3349944,1.3876650056,FALSE,311.418,0,2697.2708168,73.2532851954375,0.287497167847221,3.8429668723e-06,1.04389223622848e-07,0.0271637063476354,0,18.8192976573829,"M",1.3e-07
40,3,13,0,4,-2,1.5,"M2","3p1/2",3478.1474284,1.3718525716,FALSE,95219.999999981,0,4951.3882593,44796.2405275749,0.287497167847221,7.0223758788e-06,6.3545460597253e-05,9.04899733281035,0,34.3891025649327,"M",1.3e-07
40,3,14,0,4,2,1.5,"M2","3p1/2",3481.6471734,1.3683528266,FALSE,46109.9999999907,0,107.40575256,21692.4453972535,0.287497167847221,1.5217837297e-07,3.07406625457011e-05,202.004147802009,0,0.745228931995618,"M",1.3e-07
40,3,15,0,4,-3,2.5,"M3","3p3/2",3486.5632976,1.3634367024,FALSE,162319.487179446,0,145.30214908,114544.782451237,0.287497167847221,2.055808077e-07,0.000162093330033006,788.465284510146,0,1.00674466923937,"M",1.3e-07
40,3,16,0,4,3,2.5,"M3","3p3/2",3486.7495165,1.3632504835,FALSE,115336.211538432,0,10.414986882,81389.8656839301,0.287497167847221,1.4734863099e-08,0.00011516934328029,7816.11220318067,0,0.0721577322457912,"M",1.3e-07
40,3,17,0,4,-4,3.5,"M3","3p3/2",3489.1865214,1.3608134786,FALSE,73254.7179486993,0,13.322088597,68925.3510819207,0.287497167847221,1.8834549072e-08,9.74632920964266e-05,5174.70801790091,0,0.0922342026374052,"M",1.3e-07
40,3,18,0,5,-1,0.5,"M3","3p3/2",3960.6800624,0.8893199376,FALSE,35056.3461538372,0,3.2655265189,8246.12746442727,0.287497167847221,4.0652842422e-09,1.02675528611741e-05,2525.66665685782,0,0.0199080025298375,"M",1.3e-07
40,3,19,0,5,1,0.5,"M4","3d3/2",3965.5366224,0.8844633776,FALSE,2206.33913043461,0,1391.5599309,518.986023799459,0.287497167847221,1.7302210789e-06,6.4541389043466e-07,0.373023943763872,0,8.47302268765315,"M",1.3e-07
40,3,20,0,5,-2,1.5,"M4","3d3/2",3973.6642733,0.8763357267,FALSE,1558.40543478249,0,2564.816843,733.151698130751,0.287497167847221,3.1824653883e-06,9.09879422919383e-07,0.285903949266647,0,15.5847722389789,"M",1.3e-07
