"AX","Z","El","A","Ei","Ef","Q","Vi","Ee","Ji","Jd","Jat","NEECX","Occ","Type","tau_SI","Gamma_eV","oneoveroneplusalpha","B_wu","B_wu_2","Yneec_th_SI","Yneec_calc_SI","Ar_SI","Ar_AU","ICC","ICC_tot","ICC_sum","Sth","Ref","Spdb_P","Ratio_P"
"165HO",67,"HO",165,0,0,94.7,65.137,29.563,3.5,4.5,0.5,FALSE,1,"M1",2.23e-11,1.17e-05,0.242130750605327,0.275,0.34375,1.28e+10,27871286955.1806,7437236806.07168,1.79898155389571e-07,2.99802603380081,3.05,2.99802603380081,0.884,"Pthesis",1.13460874689556,1.28349405757416
"173YB",70,"YB",173,0,0,78.647,71.574,7.073,2.5,3.5,0.5,FALSE,1,"M1",4.6e-11,4.8e-06,0.124843945068664,0.117,0.156,7.32e+09,15877994014.9435,1812430341.42086,4.38405934482974e-08,6.57045693787708,6.74,6.57045693787708,1.26,"Pthesis",1.45794527600594,1.15709942540154
"185RE",75,"RE",185,0,0,125.358,83.16,42.198,2.5,3.5,0.5,FALSE,1,"M1",1.02e-11,2.36e-05,0.265957446808511,0.28,0.373333333333333,2.62e+10,60863710423.2819,17564798594.5406,4.24872160096812e-07,2.598821875,2.71,2.598821875,1.34,"Pthesis",1.90547314145152,1.42199488168024
"187RE",75,"RE",187,0,0,134.243,83.16,51.083,2.5,3.5,0.5,FALSE,1,"M1",1.06e-11,2.47e-05,0.3125,0.26,0.346666666666667,2.5e+10,57321326810.4275,20029830495.4294,4.8449843037831e-07,2.1463484235491,2.23,2.1463484235491,1.16,"Pthesis",1.68158625639172,1.44964332447562
"55MN",25,"MN",55,0,0,125.949,8.571,117.378,2.5,3.5,0.5,FALSE,1,"M1",2.59e-10,1.75e-06,0.982897582071948,0.0417,0.0556,24500000,69037405.1303834,2653073031.61833,6.41747677191487e-08,0.0195162565186545,0.01654,0.0195162565186545,0.000922,"Pthesis",0.00256187427074979,2.77860549972862
"57FE",26,"FE",57,0,0,14.412,9.277,5.135,0.5,1.5,0.5,FALSE,1,"M1",9.83e-08,2.56e-09,0.104602510460251,0.0078,0.0156,6210000,14844228.9980914,743526.312187931,1.79850414251997e-11,9.98231586075966,8.55,9.98231586075966,0.00119,"Pthesis",0.00129662137096401,1.08959779072606
"40K",19,"K",40,0,0,29.829,4.933,24.896,4,3,0.5,FALSE,1,"M1",NA,9.47e-08,0.770416024653313,0.15,0.116666666666667,13300000,35444087.7449096,126775788.540347,3.06655967816535e-09,0.359461143822725,0.289,0.359461143822725,0.00227,"Pthesis",0.00506130147918701,2.22964822871675
"155GD",64,"GD",155,0,0,60.008,14.224,45.784,1.5,2.5,0.5,TRUE,3,"M1",NA,1.97e-06,0.096246390760347,0.047,0.0705,2.73e+08,808634319.444731,323410632.963716,7.82292910937671e-09,1.66688875178995,8.79,14.6399167533823,0.00318,"Pthesis",0.00535105982842244,1.68272321648504
"155GD",64,"GD",155,0,0,60.008,14.07,45.938,1.5,2.5,0.5,TRUE,3,"M1",NA,1.86e-06,0.096246390760347,0.047,0.0705,2.4e+07,808634319.444731,323410632.963716,7.82292910937671e-09,1.66688875178995,8.79,14.6399167533823,0.000294,"Pthesis",0.00533235225950158,18.1372525833387
"155GD",64,"GD",155,0,0,60.008,13.286,46.722,1.5,2.5,1.5,TRUE,3,"M1",NA,1.85e-06,0.096246390760347,0.047,0.0705,4e+06,1617268638.88946,323410632.963716,7.82292910937671e-09,1.66688875178995,8.79,14.6399167533823,4.84e-05,"Pthesis",0.0104780582642597,216.488807112804
"157GD",64,"GD",155,0,0,54.533,14.224,40.309,1.5,2.5,0.5,TRUE,3,"M1",NA,4.37e-07,0.076335877862595,0.077,0.1155,4.16e+08,1315204882.74467,397647150.074107,9.61862458592827e-09,2.20497809427205,11.57,19.2572443203867,0.0286,"Pthesis",0.00767147980087875,0.268233559471285
"157GD",64,"GD",157,0,0,54.533,14.07,40.463,1.5,2.5,0.5,TRUE,3,"M1",NA,2.71e-07,0.076335877862595,0.077,0.1155,36800000,1315204882.74467,397647150.074107,9.61862458592827e-09,2.20497809427205,11.57,19.2572443203867,0.00407,"Pthesis",0.0076411749569854,1.87743856436988
"157GD",64,"GD",157,0,0,54.533,13.286,41.247,1.5,2.5,1.5,TRUE,3,"M1",NA,2.56e-07,0.076335877862595,0.077,0.1155,6210000,2630409765.48934,397647150.074107,9.61862458592827e-09,2.20497809427205,11.57,19.2572443203867,0.000712,"Pthesis",0.0149808182038598,21.040475005421
"164DY",66,"DY",164,0,0,73.392,63.074,10.318,0,2,0.5,FALSE,1,"E2",NA,4.37e-08,0.101112234580384,211,1055,1.86e+08,369332863.305111,29299762.6315727,7.08727365850317e-10,2.52106385945344,8.89,2.52106385945344,0.0388,"Pthesis",0.0498256185447407,1.28416542641084
"170ER",68,"ER",170,0,0,78.591,67.241,11.35,0,2,0.5,FALSE,1,"E2",NA,5.75e-08,0.118063754427391,208,1040,2.23e+08,434149321.522156,42665044.8233431,1.03201808191272e-09,2.03515230474865,7.49,2.03515230474865,0.047,"Pthesis",0.06170680349,1.31291071255319
"174YB",70,"YB",174,0,0,76.471,71.574,4.897,0,2,0.5,FALSE,1,"E2",NA,4.85e-08,0.095877277085331,201,1005,1.79e+08,344581574.03432,37092986.7422331,8.97236442353134e-10,1.85793382683842,9.3,1.85793382683842,0.0927,"Pthesis",0.121311037780705,1.30864118425788
"154GD",64,"GD",154,0,0,123.071,59.066,64.005,0,2,0.5,FALSE,1,"E2",NA,2.51e-07,0.455166135639508,157,785,5.69e+08,1025047083.39022,265818679.350428,6.4298463703877e-09,0.771237812101914,1.187,0.771237812101914,0.0291,"Pthesis",0.0421251231622527,1.44759873409803
"156GD",64,"GD",156,0,0,88.966,14.224,74.742,0,2,0.5,FALSE,3,"E2",NA,1.21e-07,0.204918032786885,189,945,33500000,75321675.4552439,64263024.3967112,1.5544482245456e-09,0.234416839737467,3.88,2.96382988352728,0.000709,"Pthesis",0.00117288701497781,1.65428351900961
"156GD",64,"GD",156,0,0,88.966,14.07,74.896,0,2,0.5,TRUE,3,"E2",NA,1.32e-07,0.204918032786885,189,945,1.16e+08,75321675.4552439,64263024.3967112,1.5544482245456e-09,0.234416839737467,3.88,2.96382988352728,0.00225,"Pthesis",0.00117031102909756,0.520138235154471
"156GD",64,"GD",156,0,0,88.966,13.286,75.68,0,2,1.5,TRUE,3,"E2",NA,1.27e-07,0.204918032786885,189,945,1.59e+08,150643350.910488,64263024.3967112,1.5544482245456e-09,0.234416839737467,3.88,2.96382988352728,0.00317,"Pthesis",0.0023147203332183,0.730195688712398
"162DY",66,"DY",162,0,0,80.66,15.228,65.432,0,2,0.5,FALSE,3,"E2",NA,9.39e-08,0.140056022408964,204,1020,28100000,61767175.8933069,44684219.5703211,1.08085958338192e-09,0.276460801988952,6.14,3.45500773636338,0.000625,"Pthesis",0.000985909400152811,1.5774550402445
"162DY",66,"DY",162,0,0,80.66,15.066,65.594,0,2,0.5,TRUE,3,"E2",NA,1.11e-07,0.140056022408964,204,1020,1.59e+08,61767175.8933069,44684219.5703211,1.08085958338192e-09,0.276460801988952,6.14,3.45500773636338,0.00298,"Pthesis",0.000983327985933552,0.32997583420589
"162DY",66,"DY",162,0,0,80.66,14.168,66.492,0,2,1.5,TRUE,3,"E2",NA,1.04e-07,0.140056022408964,204,1020,2.15e+08,123534351.786614,44684219.5703211,1.08085958338192e-09,0.276460801988952,6.14,3.45500773636338,0.0424,"Pthesis",0.0019384951218788,0.0457192245726132
"163DY",66,"DY",163,0,0,73.44,15.228,58.212,2.5,3.5,0.5,FALSE,3,"E2",NA,1.06e-07,0.108108108108108,286,0.00108,9180000,17556004.1818777,39520801.9508745,2.70744619565859e-15,0.333166395580112,8.87,4.08804326860485,0.000209,"Pthesis",0.000277634284547464,1.32839370596873
"163DY",66,"DY",163,0,0,73.44,15.066,58.374,2.5,3.5,0.5,TRUE,3,"E2",NA,1.36e-07,0.108108108108108,286,0.00108,69300000,17556004.1818777,39520801.9508745,2.70744619565859e-15,0.333166395580112,8.87,4.08804326860485,0.00123,"Pthesis",0.000276822280678151,0.225058764778984
"163DY",66,"DY",163,0,0,73.44,14.168,59.272,2.5,3.5,1.5,TRUE,3,"E2",NA,1.25e-07,0.108108108108108,286,0.00108,94400000,35112008.3637555,39520801.9508745,2.70744619565859e-15,0.333166395580112,8.87,4.08804326860485,0.00179,"Pthesis",0.000544803782413906,0.304359654979836
"236U",92,"U",236,0,0,45.242,32.838,12.404,0,2,0.5,FALSE,3,"E2",NA,1.76e-08,0.001694915254237,250,1250,1.06e+08,8523050266.7493,5020472.10484174,1.21439412835219e-10,339.531824448529,589,339.531824448529,0.00847,"Pthesis",0.00986968201497031,1.16525171369189
"236U",92,"U",236,0,0,45.242,32.544,12.698,0,2,0.5,TRUE,3,"E2",NA,4.01e-07,0.001694915254237,250,1250,3.02e+09,8523050266.7493,5020472.10484174,1.21439412835219e-10,339.531824448529,589,339.531824448529,0.0102,"Pthesis",0.00963842761854886,0.944943884171457
"236U",92,"U",236,0,0,45.242,28.371,16.871,0,2,1.5,TRUE,3,"E2",NA,2.07e-07,0.001694915254237,250,1250,3.1e+09,17046100533.4986,5020472.10484174,1.21439412835219e-10,339.531824448529,589,339.531824448529,0.0152,"Pthesis",0.0144504993974683,0.950690749833444
"238U",92,"U",236,0,0,44.91,32.837,12.073,0,2,0.5,FALSE,3,"E2",NA,1.81e-08,0.001636661211129,250,1250,1.11e+08,8506967056.59432,4838946.90233012,1.17048528163926e-10,351.604067095588,610,351.604067095588,0.0088,"Pthesis",0.00977774674463951,1.11110758461813
"238U",92,"U",236,0,0,44.91,32.554,12.356,0,2,0.5,TRUE,3,"E2",NA,4.17e-07,0.001636661211129,250,1250,3.14e+09,8506967056.59432,4838946.90233012,1.17048528163926e-10,351.604067095588,610,351.604067095588,0.0106,"Pthesis",0.00955118503490764,0.901055191972419
"238U",92,"U",236,0,0,44.91,28.376,16.534,0,2,1.5,TRUE,3,"E2",NA,2.16e-07,0.001636661211129,250,1250,3.23e+09,17013934113.1886,4838946.90233012,1.17048528163926e-10,351.604067095588,610,351.604067095588,0.0156,"Pthesis",0.0142179416084033,0.911406513359188
"248CM",96,"CM",248,0,0,43.38,36.492,6.888,0,2,0.5,FALSE,3,"E2",NA,3.25e-08,0.000999000999001,324,1620,2.18e+08,16266672495.9801,5633883.88284931,1.36277134187282e-10,577.458564437196,1002,577.458564437196,0.0178,"Pthesis",0.0200762568332742,1.12787959737496
"248CM",96,"CM",248,0,0,43.38,36.19,7.19,0,2,0.5,TRUE,3,"E2",NA,7.24e-07,0.000999000999001,324,1620,5.47e+09,16266672495.9801,5633883.88284931,1.36277134187282e-10,577.458564437196,1002,577.458564437196,0.0191,"Pthesis",0.0192273551797806,1.00666781045972
"248CM",96,"CM",248,0,0,43.38,31.024,12.356,0,2,1.5,TRUE,3,"E2",NA,3.54e-07,0.000999000999001,324,1620,5.33e+09,32533344991.9602,5633883.88284931,1.36277134187282e-10,577.458564437196,1002,577.458564437196,0.022,"Pthesis",0.0222651839843942,1.01205381747246
