AX,Z,El,A,Q,Vi,Vi_q0,Ee,Ji,Jd,Jat,nlj,Occ,Div,NEECX,Type,tau_SI,Gamma_eV,oneoveroneplusalpha,AroverGamma,B_wu,B_wu_2,Yneec_th_SI,Yneec_calc_SI,Ar_SI,Ar_AU,IC_P,IC_tot,pi2_p2,pi2_p2_th,Sth,Ref,Sth_Check,Spdb_P,Spdb_tot,Ratio_P,Rneec
165HO,67,HO,165,94.7,65.137,55.161,29.563,3.5,4.5,0.5,1s 1/2,0,2,FALSE,M1,2.23E-11,1.17E-05,0.242130750605327,0.418399841623385,0.275,0.34375,12800000000,,7437236806.07168,1.79898155389571E-07,1.27,3.13,NA,,0.884,Pthesis,74.0711260983861,137.721126321523,16.4061330944085,155.79312932299,NA
173YB,70,YB,173,78.647,71.574,60.8,7.073,2.5,3.5,0.5,1s 1/2,0,2,FALSE,M1,4.6E-11,4.8E-06,0.124843945068664,0.248534023081393,0.117,0.156,7320000000,,1812430341.42086,4.38405934482974E-08,2.78,7.01,NA,,1.26,Pthesis,740.013681744106,1375.4256642458,13.8482209589539,1091.60767003635,NA
185RE,75,RE,185,125.358,83.16,,42.198,2.5,3.5,0.5,1s 1/2,0,2,FALSE,M1,1.02E-11,2.36E-05,0.265957446808511,0.489888150383396,0.28,0.373333333333333,26200000000,,17564798594.5406,4.24872160096812E-07,1.01,2.76,NA,,1.34,Pthesis,74.4138098341074,148.998596669228,20.7982652042203,111.192982588976,NA
187RE,75,RE,187,134.243,83.16,,51.083,2.5,3.5,0.5,1s 1/2,0,2,FALSE,M1,1.06E-11,2.47E-05,0.3125,0.533760073093859,0.26,0.346666666666667,25000000000,,20029830495.4294,4.8449843037831E-07,1.01,2.2,NA,,1.16,Pthesis,48.4532824947022,95.7570888178495,16.4852531815073,82.5492144981461,NA
55MN,25,MN,55,125.949,8.571,,117.378,2.5,3.5,0.5,1s 1/2,0,2,FALSE,M1,2.59E-10,1.75E-06,0.982897582071948,0.997876786209197,0.0417,0.0556,24500000,,2653073031.61833,6.41747677191487E-08,0.00686,0.0174,NA,,0.000922,Pthesis,0.00899349832501,0.01933504615644,0.019619501595857,20.9707658963556,NA
57FE,26,FE,57,14.412,9.277,,5.135,0.5,1.5,0.5,1s 1/2,0,2,FALSE,M1,9.83E-08,2.56E-09,0.104602510460251,0.191171056424648,0.0078,0.0156,6210000,,743526.312187931,1.79850414251997E-11,4.185,8.56,NA,,0.00119,Pthesis,1.19109578744725,2.18194028857318,0.309878770051817,1833.56326770855,NA
40K,19,K,40,29.829,4.933,,24.896,4,3,0.5,1s 1/2,0,2,FALSE,M1,NA,9.47E-08,0.770416024653313,0.881154583892218,0.15,0.116666666666667,13300000,,126775788.540347,3.06655967816535E-09,0.1315,0.298,NA,,0.00227,Pthesis,0.108524670199023,0.211604273009817,0.166982498471709,93.2177414140163,NA
155GD,64,GD,155,60.008,14.224,,45.784,1.5,2.5,0.5,2s 1/2,2,1,TRUE,M1,NA,1.97E-06,0.096246390760347,0.108057230277099,0.047,0.0705,273000000,,323410632.963716,7.82292910937671E-09,0.541,9.39,NA,,0.00318,Pthesis,0.658674977996959,1.26643041680533,6.39636250422163,398.248558743814,NA
155GD,64,GD,155,60.008,14.07,,45.938,1.5,2.5,0.5,2p 1/2,2,1,TRUE,M1,NA,1.86E-06,0.096246390760347,0.114447711637573,0.047,0.0705,24000000,,323410632.963716,7.82292910937671E-09,0.541,9.39,NA,,0.000294,Pthesis,0.0575179050105,1.25795362722628,6.39636250422163,4278.75383410298,NA
155GD,64,GD,155,60.008,13.286,,46.722,1.5,2.5,1.5,2p 3/2,2,1,TRUE,M1,NA,1.85E-06,0.096246390760347,0.115066347916695,0.047,0.0705,4000000,,323410632.963716,7.82292910937671E-09,0.541,9.39,NA,,4.84E-05,Pthesis,0.009267297937678,2.43218129446697,12.7927250084433,50251.6796377473,NA
