AX,A,Ei,Ji,Ed,Jd,Q,Ee,Vi,nlj,Jat,Type,Yn_SI,tauEM_SI,Gamma_eV,Gamma_AU,oneoveroneplusalpha,AroverGamma,B_wu,Ar_SI,B_wu_2,Ar_AU,IC_tot,Sth,Sth_Check,Ref,pi2_p2,Spdb_tot,Ratio_tot,compute,P,IC_P,Spdb_P,Ratio_P,Rneec
165HO,165,0,3.5,0,4.5,94.7,29.563,65.137,1s 1/2,0.5,M1,12800000000,NA,1.17E-05,4.29967073342019E-07,0.242130750605327,0.418399841623385,0.275,7437236806.07168,0.34375,1.79898155389571E-07,3.13,0.884,74.0711260983861,Pthesis,,16.4061330944085,18.5589740886974,TRUE,1,2.56,137.721126321523,155.79312932299,NA
173YB,173,0,2.5,0,3.5,78.647,7.073,71.574,1s 1/2,0.5,M1,7320000000,NA,4.8E-06,1.76396748037752E-07,0.124843945068664,0.248534023081393,0.117,1812430341.42086,0.156,4.38405934482974E-08,7.01,1.26,740.013681744106,Pthesis,,13.8482209589539,10.9906515547253,TRUE,1,5.63,1375.4256642458,1091.60767003635,NA
185RE,185,0,2.5,0,3.5,125.358,42.198,83.16,1s 1/2,0.5,M1,26200000000,NA,2.36E-05,8.67284011185612E-07,0.265957446808511,0.489888150383396,0.28,17564798594.5406,0.373333333333333,4.24872160096812E-07,2.76,1.34,74.4138098341074,Pthesis,,20.7982652042203,15.5210934359853,TRUE,1,2.24,148.998596669228,111.192982588976,NA
187RE,187,0,2.5,0,3.5,134.243,51.083,83.16,1s 1/2,0.5,M1,25000000000,NA,2.47E-05,9.07708265944263E-07,0.3125,0.533760073093859,0.26,20029830495.4294,0.346666666666667,4.8449843037831E-07,2.2,1.16,48.4532824947022,Pthesis,,16.4852531815073,14.2114251564718,TRUE,1,1.85,95.7570888178495,82.5492144981461,NA
55MN,55,0,2.5,0,3.5,125.949,117.378,8.571,1s 1/2,0.5,M1,24500000,NA,1.75E-06,6.43113143887636E-08,0.982897582071948,0.997876786209197,0.0417,2653073031.61833,0.0556,6.41747677191487E-08,0.0174,0.000922,0.00899349832501,Pthesis,,0.019619501595857,21.2792858957229,TRUE,1,0.01489,0.01933504615644,20.9707658963556,NA
57FE,57,0,0.5,0,1.5,14.412,5.135,9.277,1s 1/2,0.5,M1,6210000,NA,2.56E-09,9.40782656201342E-11,0.104602510460251,0.191171056424648,0.0078,743526.312187931,0.0156,1.79850414251997E-11,8.56,0.00119,1.19109578744725,Pthesis,,0.309878770051817,260.402327774636,TRUE,1,7.65,2.18194028857318,1833.56326770855,NA
40K,40,0,4,0,3,29.829,24.896,4.933,1s 1/2,0.5,M1,13300000,NA,9.47E-08,3.48016084149481E-09,0.770416024653313,0.881154583892218,0.15,126775788.540347,0.116666666666667,3.06655967816535E-09,0.298,0.00227,0.108524670199023,Pthesis,,0.166982498471709,73.5605720139686,TRUE,1,0.263,0.211604273009817,93.2177414140163,NA
155GD,155,0,1.5,0,2.5,60.008,45.784,14.224,2s 1/2,0.5,M1,273000000,NA,1.97E-06,7.23961653404939E-08,0.096246390760347,0.108057230277099,0.047,323410632.963716,0.0705,7.82292910937671E-09,9.39,0.00318,0.658674977996959,Pthesis,,6.39636250422163,2011.43474975523,TRUE,2,1.082,1.26643041680533,398.248558743814,NA
155GD,155,0,1.5,0,2.5,60.008,45.938,14.07,2p 1/2,0.5,M1,24000000,NA,1.86E-06,6.83537398646287E-08,0.096246390760347,0.114447711637573,0.047,323410632.963716,0.0705,7.82292910937671E-09,9.39,0.000294,0.0575179050105,Pthesis,,6.39636250422163,21756.3350483729,TRUE,2,1.082,1.25795362722628,4278.75383410298,NA
155GD,155,0,1.5,0,2.5,60.008,46.722,13.286,2p 3/2,1.5,M1,4000000,NA,1.85E-06,6.79862466395501E-08,0.096246390760347,0.115066347916695,0.047,323410632.963716,0.0705,7.82292910937671E-09,9.39,4.84E-05,0.009267297937678,Pthesis,,12.7927250084433,264312.500174448,TRUE,2,1.082,2.43218129446697,50251.6796377473,NA
157GD,155,0,1.5,0,2.5,54.533,40.309,14.224,2s 1/2,0.5,M1,416000000,NA,4.37E-07,1.6059453935937E-08,0.076335877862595,0.598938458573876,0.077,397647150.074107,0.1155,9.61862458592827E-09,12.1,0.0286,1.29486730940475,Pthesis,,12.2714519609109,429.071746884998,TRUE,2,1.433,2.66052448261186,93.0253315598552,NA
