AX,A,El,Z,Ei,Ed,Q,Etrans,Vi,Vi_q0,Type,Mixed,Ee,Ji,Jd,Jat,nlj,Occ,Div,P,Yn,compute,T0_d,Gamma_eV,B_wu,Ar_SI,Ar_AU,Sth,Ref,IC_P,IC_tot,Spdb_P,Ratio_P,Rneec
93MO,93,,,2424.95,2429.8,,4.85000000000036,5.5,,E2,FALSE,NA,10.5,8.5,1.5,2p 3/2,,,2,NA,TRUE,0.00000000353,NA,3.5,0.0000287497167847329,6.95422393075294E-022,0.0000091,GSIfuture,,,NA,NA,1.91328558870031E-017
152EU,152,,,45.5998,65.296,,19.6962,13.462,,M1,FALSE,NA,0,1,0.5,2s ½,,,2,NA,TRUE,0.00000094,NA,0.000079,19222.2139582332,0.000000000000464963120545887,0.00034,GSIfuture,,,NA,NA,0.00000000000260398433022539
178HF,178,,,2446.95,2572.4,,125.45,18.18,,M2,FALSE,NA,16,14,0.5,1s ½,,,1,NA,TRUE,0.000068,NA,0.0142,315.82250447846,7.63938105881012E-015,0.0000002,GSIfuture,,,NA,NA,8.20382497162415E-017
189OS,189,,,30.812,216.661,,185.849,85.614,,M1+E2,TRUE,NA,4.5,3.5,1.5,1s1/2,,,1,NA,FALSE,0.00000000041,NA,NA,NA,NA,0.0012,GSIfuture,,,NA,NA,NA
204PB,204,,,2185.88,2264.42,,78.54,23.46,,E2,FALSE,NA,9,7,1.5,2p3/2,,,2,NA,TRUE,0.00000045,NA,0.15,3.91079936185155,9.45977127851352E-017,0.000049,GSIfuture,,,NA,NA,2.02068809736549E-018
235U,235,,,0.076,51.6968,,51.6208,31.06,,E2,FALSE,NA,0.5,2.5,0.5,2p1/2,,,2,NA,TRUE,0.000000000191,NA,215,830.230783597253,0.0000000000000200823222940609,0.13,GSIfuture,,,NA,NA,0.0000000000000977745384168403
242AM,242,,,48.6,52.7,,4.1,NA,,E2,FALSE,NA,5,3,1.5,5p3/2,,,5,NA,FALSE,NA,NA,NA,NA,NA,0.0036,GSIfuture,,,NA,NA,NA
84RB,84,,,463.59,466.64,,3.05000000000001,0.55,,M1,FALSE,NA,6,5,1.5,3d3/2,,,3,NA,TRUE,0.000000009,NA,0.08,72280.0566210008,0.00000000000174837096042931,NA,noREF,,,NA,NA,0.0000000000725748987885626
84RB,84,,,463.59,466.64,,3.05000000000001,1.29457,,M1,FALSE,NA,6,5,0.5,3s1/2,,,3,NA,TRUE,0.000000009,NA,0.08,72280.0566210008,0.00000000000174837096042931,0.01,noREF,,,NA,NA,0.000000000073598578833239
129SB,129,,,1851,1861,,10,,,E2,FALSE,,9.5,7.5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K ,1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1 ,2s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2 ,2p1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3 ,2p3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,3s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,3p1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,3p3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4,3d3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M5, 3d5/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,4s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2,4p1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3,4p3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4,4d3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5,4d5/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6,4f5/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7,4f7/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O1,5s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O2,5p1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O3,5p3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O4,5d3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O5,5d5/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6,5f5/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O7,5f7/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P1,6s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2,6p1/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3 ,6p3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P4,6d3/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P5,6d5/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
