n,subshell,Valence_Config,nmax,nh,n_principal,kappa,J_final
1,K,1s,2,2,1,-1,0.5
2,K,1s,2,1,1,-1,0
3,L1,2s,2,2,2,-1,0.5
4,L1,2s,2,1,2,-1,0
5,L2,2p1/2,2,2,2,1,0.5
6,L2,2p1/2,2,1,2,1,0
7,L3,2p3/2,4,4,2,-2,1.5
8,L3,2p3/2,4,3,2,-2,2
9,L3,2p3/2,4,2,2,-2,1.5
10,L3,2p3/2,4,1,2,-2,0
11,M1,3s,2,2,3,-1,0.5
12,M1,3s,2,1,3,-1,0
13,M2,3p1/2,2,2,3,1,0.5
14,M2,3p1/2,2,1,3,1,0
15,M3,3p3/2,4,4,3,-2,1.5
16,M3,3p3/2,4,3,3,-2,2
17,M3,3p3/2,4,2,3,-2,1.5
18,M3,3p3/2,4,1,3,-2,0
19,M4,3d3/2,4,4,3,2,1.5
20,M4,3d3/2,4,3,3,-3,3
21,M4,3d3/2,4,2,3,-3,2.5
22,M4,3d3/2,4,1,3,-3,1
23,M5,3d5/2,6,6,3,-3,2.5
24,M5,3d5/2,6,5,3,-3,4
25,M5,3d5/2,6,4,3,-3,4.5
26,M5,3d5/2,6,3,3,-3,4
27,M5,3d5/2,6,2,3,-3,2.5
28,M5,3d5/2,6,1,3,-3,0
29,N1,4s,2,2,4,-1,0.5
30,N1,4s,2,1,4,,
31,N2,4p1/2,2,2,4,,
32,N2,4p1/2,2,1,4,,
33,N3,4p3/2,4,4,4,,
34,N3,4p3/2,4,3,4,,
35,N3,4p3/2,4,2,4,,
36,N3,4p3/2,4,1,4,,
37,N4,4d3/2,4,4,4,,
38,N4,4d3/2,4,3,4,,
39,N4,4d3/2,4,2,4,,
40,N4,4d3/2,4,1,4,,
41,N5,4d5/2,6,6,4,,
42,N5,4d5/2,6,5,4,,
43,N5,4d5/2,6,4,4,,
44,N5,4d5/2,6,3,4,,
45,N5,4d5/2,6,2,4,,
46,N5,4d5/2,6,1,4,,
47,N6,4f5/2,6,6,4,,
48,N6,4f5/2,6,5,4,,
49,N6,4f5/2,6,4,4,,
50,N6,4f5/2,6,3,4,,
51,N6,4f5/2,6,2,4,,
52,N6,4f5/2,6,1,4,,
53,N7,4f7/2,8,8,4,,
54,N7,4f7/2,8,7,4,,
55,N7,4f7/2,8,6,4,,
56,N7,4f7/2,8,5,4,,
57,N7,4f7/2,8,4,4,,
58,N7,4f7/2,8,3,4,,
59,N7,4f7/2,8,2,4,,
60,N7,4f7/2,8,1,4,,
61,O1,5s,2,2,5,,
62,O1,5s,2,1,5,,
63,O2,5p1/2,2,2,5,,
64,O2,5p1/2,2,1,5,,
65,O3,5p3/2,4,4,5,,
66,O3,5p3/2,4,3,5,,
67,O3,5p3/2,4,2,5,,
68,O3,5p3/2,4,1,5,,
69,O4,5d3/2,4,4,5,,
70,O4,5d3/2,4,3,5,,
71,O4,5d3/2,4,2,5,,
72,O4,5d3/2,4,1,5,,
73,O5,5d5/2,6,6,5,,
74,O5,5d5/2,6,5,5,,
75,O5,5d5/2,6,4,5,,
76,O5,5d5/2,6,3,5,,
77,O5,5d5/2,6,2,5,,
78,O5,5d5/2,6,1,5,,
79,O6,5f5/2,6,6,5,,
80,O6,5f5/2,6,5,5,,
81,O6,5f5/2,6,4,5,,
82,O6,5f5/2,6,3,5,,
83,O6,5f5/2,6,2,5,,
84,O6,5f5/2,6,1,5,,
85,O7,5f7/2,8,8,5,,
86,O7,5f7/2,8,7,5,,
87,O7,5f7/2,8,6,5,,
88,O7,5f7/2,8,5,5,,
89,O7,5f7/2,8,4,5,,
90,O7,5f7/2,8,3,5,,
91,O7,5f7/2,8,2,5,,
92,O7,5f7/2,8,1,5,,
93,P1,6s,2,2,6,,
94,P1,6s,2,1,6,,
95,P2,6p1/2,2,2,6,,
96,P2,6p1/2,2,1,6,,
97,P3,6p3/2,4,4,6,,
98,P3,6p3/2,4,3,6,,
99,P3,6p3/2,4,2,6,,
100,P3,6p3/2,4,1,6,,
101,P4,6d3/2,4,4,6,,
102,P4,6d3/2,4,3,6,,
103,P4,6d3/2,4,2,6,,
104,P4,6d3/2,4,1,6,,
105,P5,6d5/2,6,6,6,,
106,P5,6d5/2,6,5,6,,
107,P5,6d5/2,6,4,6,,
108,P5,6d5/2,6,3,6,,
109,P5,6d5/2,6,2,6,,
110,P5,6d5/2,6,1,6,,
111,Q1,7s,2,2,7,,
112,Q1,7s,2,1,7,,
